[2025-07-11 17:26:38] 程序启动
[2025-07-11 17:26:38] 初始训练完成
[2025-07-11 17:43:38] 程序启动
[2025-07-11 17:43:38] 初始训练完成
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1835
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1813
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1792
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1770
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1749
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1727
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1706
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1684
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1663
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1641
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1619
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1598
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1576
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1554
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1532
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1509
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1487
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1464
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1442
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1419
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1396
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1373
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1350
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1327
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1304
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1282
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1259
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1237
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1215
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1194
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1172
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1151
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1130
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1110
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1090
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1070
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1050
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1031
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1012
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0993
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0974
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0956
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0939
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0921
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0904
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0887
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0871
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0855
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0839
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0824
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0809
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0794
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0780
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0766
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0752
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0738
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0725
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0712
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0699
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0686
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0674
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0662
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0650
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0638
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0627
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0615
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0604
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0593
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0583
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0572
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0562
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0552
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0542
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0532
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0522
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0513
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0503
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.0494
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0485
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0476
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0467
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0459
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0450
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0442
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0434
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0426
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0418
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0410
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0402
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0395
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0387
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0380
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0373
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0366
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0359
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0353
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0346
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0340
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0334
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0328
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0322
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0316
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0310
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0304
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0299
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0293
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0288
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0283
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0278
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0273
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0268
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0264
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0259
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0255
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0250
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0246
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0242
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0237
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0233
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0230
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0226
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0222
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0218
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0215
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0211
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0208
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0204
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0201
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0198
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0195
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0191
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0188
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0186
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0183
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0180
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0177
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0174
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0172
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0169
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0167
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0164
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0162
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0159
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0157
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0155
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0152
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0150
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0148
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0146
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0144
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0142
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0140
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0138
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0136
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0134
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0133
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0131
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0129
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0127
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0126
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0124
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0122
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0121
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0119
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0118
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0116
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0115
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0113
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0112
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0110
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0109
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0108
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0107
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0105
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0104
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0103
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0102
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0100
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0099
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0098
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0097
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0096
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0095
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0094
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0093
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0092
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0091
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0090
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0089
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0088
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0087
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0086
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0085
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0084
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0083
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0082
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0082
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0081
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0080
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0079
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0078
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0078
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0077
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0076
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0075
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0075
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0074
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0073
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0072
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0072
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0071
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0070
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0070
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0069
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0068
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0068
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0067
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0067
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0066
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0065
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0065
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0064
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0064
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0063
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0062
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0062
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0061
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0061
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0060
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0060
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0059
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0059
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0058
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0058
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0057
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0057
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0056
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0056
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0055
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0055
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0054
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0054
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0053
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0053
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0053
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0052
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0052
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0051
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0051
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0050
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0050
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0050
[2025-07-11 17:44:14] 自主学习本轮平均损失: 0.0049
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0049
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0048
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0048
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0048
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0047
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0047
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0047
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0046
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0046
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0046
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0045
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0045
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0045
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0044
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0044
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0044
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0043
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0043
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0043
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0042
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0042
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0042
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0041
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0041
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0041
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0041
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0040
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0040
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0040
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0040
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0039
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0039
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0039
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0039
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0038
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0038
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0038
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0038
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0037
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0037
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0037
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0037
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0036
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0036
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0036
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0036
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0035
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0035
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0035
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0035
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0034
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0034
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0034
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0034
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0034
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0033
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0033
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0033
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0033
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0033
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0032
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0032
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0032
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0032
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0032
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0031
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0031
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0031
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0031
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0031
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0030
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0030
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0030
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0030
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0030
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0030
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0029
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0029
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0029
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0029
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0029
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0029
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0028
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0028
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0028
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0028
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0028
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0028
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0028
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0027
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0027
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0027
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0027
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0027
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0027
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0027
[2025-07-11 17:44:15] 自主学习本轮平均损失: 0.0026
